"","Diseases","Category","Subcategory","Subcategory_WM","Year","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept","Oct","Nov","Dec"
"1","Upper Respiratory Infections","CD","Respiratory Infection","Respiratory Infection",2014,"2180","2403","2508","2861","3459","2676","3049","2584","2725","3326","2348","2264"
"2","Urinary Tract Infections","CD","Urinary Tract Infection","Urinary Tract Infection",2014,"2219","2477","2400","2466","4676","2237","2300","1975","2054","2819","1844","1371"
"3","Pneumonia, Severe","CD","Respiratory Infection","Respiratory Infection",2014,"217","270","438","324","459","496","405","182","387","459","492","436"
"4","Malaria","CD","Malaria","Malaria",2014,"180","132","219","167","478","293","140","76","194","171","141","297"
"5","Infectious Eye Disease","CD","Other Cd","Other CD",2014,"0","0","0","0","0","0","171","15","0","22","28","191"
"6","Diarrhea With No Dehydration","CD","Diarrheal Disease ","Diarrheal disease ",2014,"0","0","0","0","0","0","0","33","0","91","362","173"
"7","Dysentery","CD","Diarrheal Disease ","diarrheal disease ",2014,"87","97","151","124","140","160","144","113","117","82","132","154"
"8","Skin Infection - Fungal","CD","Skin","Skin",2014,"516","966","589","634","817","657","799","502","782","837","587","147"
"9","Diarrhea With Severe Dehydration","CD","Diarrheal Disease ","diarrheal disease ",2014,"0","0","0","0","0","0","452","0","7","1","307","111"
"10","Tuberculosis","CD","Respiratory Infection","Respiratory Infection",2014,"50","33","26","16","44","26","34","45","34","75","50","75"
"11","Schistosomiasis","CD","Neglected Tropical Disease (Ntd)","Neglected Tropical Disease (NTD)",2014,"17","14","13","11","76","11","9","13","83","36","12","75"
"12","Rabies","CD","Other Cd","Other CD",2014,"0","0","1","0","0","0","1","1","1","2","19","12"
"13","Typhoid","CD","Other Cd","I think we can call it Typhoid if its common, if not common then other CD",2014,"0","0","0","1","1","0",NA,"1","0","2","7","4"
"14","Meningitis","CD","Both","Can be both CD or NCD!!! Hard to clssify ",2014,"9","2","3","6","1","3","0","0","0","0","0","2"
"15","Measles","CD","Other Cd","Other CD",2014,"1","4","22","0","0","0","0","6","6","0","0","1"
"16","Viral Haemorrhagic Fevers","CD","Other Vector Borne","Other vector borne",2014,"0","0","0","0","0","0","0","0","0","0","0","1"
"17","Cholera","CD","Diarrheal Disease ","Diarrheal disease ",2014,"0","4","0","0","0","0","0","4","0","0","0","0"
"18","Acute Flaccid Paralysis","CD","Both","This is not truly a disease hence can be classified in either groups",2014,"0","0","0","0","0","0","0","0","0","0","1","0"
"19","Influenza","CD","Respiratory Infection","Respiratory Infection",2014,"0","0","3","0","3","3","0","4","0","0","0","0"
"20","Cholera","CD","Diarrheal Disease ","Diarrheal disease ",2014,"0","0","0","0","0","0","0","0","0","0","0","0"
"21","Upper Respiratory Infections","CD","Respiratory Infection","Respiratory Infection",2015,"3 827","3 770","4 259","4 495","4 772","4 641","4 825","4 408","4 184","3 694","3 616","3 290"
"22","Urinary Tract Infections","CD","Urinary Tract Infection","Urinary Tract Infection",2015,"2 558","2 570","2 492","2 679","2 299","1 906","2 663","2 325","2 685","2 175","2 519","2 251"
"23","Diarrhea With No Dehydration","CD","Diarrheal Disease ","Diarrheal disease ",2015,"802","965","788","790","1 096","522","663","533","497","616","459","350"
"24","Skin Infection - Fungal","CD","Skin","Skin",2015,"636","745","566","469","549","404","536","414","430","371","402","399"
"25","Dysentery","CD","Diarrheal Disease ","diarrheal disease ",2015,"550","279","194","256","117","120","234","58","61","69","49","47"
"26","Infectious Eye Disease","CD","Other Cd","Other CD",2015,"375","392","409","214","363","180","192","161","205","153","231","170"
"27","Pneumonia, Severe","CD","Respiratory Infection","Respiratory Infection",2015,"368","308","281","126","294","514","434","264","270","204","257","213"
"28","Tuberculosis","CD","Respiratory Infection","Respiratory Infection",2015,"227","166","127","51","41","219","68","88","58","131","158","57"
"29","Malaria mRDT +ve","CD","Malaria","Malaria",2015,"168","240","233","185","109","238","218","108","198","214","91","379"
"30","Diarrhea With Severe Dehydration","CD","Diarrheal Disease ","diarrheal disease ",2015,"135","117","56","3","7","9","12","1","26","6","36","18"
"31","Rabies","CD","Other Cd","Other CD",2015,"79","95","56","57","33","49","55","35","46","58","59","44"
"32","Schistosomiasis","CD","Neglected Tropical Disease (Ntd)","Neglected Tropical Disease (NTD)",2015,"71","4","50","5","5","7","20","266","13","9","0","26"
"33","Typhoid","CD","Other Cd","I think we can call it Typhoid if its common, if not common then other CD",2015,"42","55","102","41","69","32","49","49","32","38","58","45"
"34","Measles","CD","Other Cd","Other CD",2015,"12","10","72",NA,"111","2","2","5","0","0","0","1"
"35","Meningitis","CD","Both","Can be both CD or NCD!!! Hard to clssify ",2015,"6","0","0","2","0","10","3","6","10","6","0","8"
"36","Acute Flaccid Paralysis","CD","Both","This is not truly a disease hence can be classified in either groups",2015,"0","0","0","0","0","0","0","1","1","0","0","1"
"37","Cholera","CD","Diarrheal Disease ","Diarrheal disease ",2015,"0","0","0","0","2","0","1","4","0","1","0","0"
"38","Relapsing Fever (Louse Borne Typhus)","CD","Other Vector Borne","Other vector borne",2015,"0","0","0","0","0","3","0","0","3","0","0","0"
"39","Yellow Fever","CD","Other Vector Borne","Other vector borne",2015,"0","0","0","0","0","0","0","0","9","0","0","0"
"40","Upper Respiratory Infections","CD","Respiratory Infection","Respiratory Infection",2016,"3 834","5 126","4 338","5 482","7 459","5 511","4 544","4 145","4 946","5 554","4 569","5 822"
"41","Urinary Tract Infections","CD","Urinary Tract Infection","Urinary Tract Infection",2016,"2 579","3 176","3 415","3 046","4 760","3 324","2 893","2 701","3 402","2 894","3 452","3 472"
"42","Diarrhea With No Dehydration","CD","Diarrheal Disease ","Diarrheal disease ",2016,"666","773","492","623","1 063","666","524","562","479","690","706","629"
"43","Skin Infection - Fungal","CD","Skin","Skin",2016,"401","710","453","700","387","419","307","440","415","468","455","408"
"44","Malaria mRDT +ve","CD","Malaria","Malaria",2016,"400","399","233","222","270","263","263","179","121","55","111","121"
"45","Pneumonia, Severe","CD","Respiratory Infection","Respiratory Infection",2016,"228","257","375","206","295","121","73","103","155","65","1 082","142"
"46","Infectious Eye Disease","CD","Other Cd","Other CD",2016,"107","326","307","257","197","262","252","144","187","115","155","118"
"47","Typhoid","CD","Other Cd","I think we can call it Typhoid if its common, if not common then other CD",2016,"69","38","57","82","24","45","12","50","65","31","65","54"
"48","Tuberculosis","CD","Respiratory Infection","Respiratory Infection",2016,"62","128","57","57","173","64","42","46","60","38","58","17"
"49","Dysentery","CD","Diarrheal Disease ","diarrheal disease ",2016,"57","121","44","74","217","114","133","107","188","122","84","79"
"50","Rabies","CD","Other Cd","Other CD",2016,"51","39","43","8","115","121","73","50","53","50","70","46"
"51","Influenza","CD","Respiratory Infection","Respiratory Infection",2016,"30","63","61","29","81","16","49","32","4","27","21","4"
"52","Diarrhea With Severe Dehydration","CD","Diarrheal Disease ","diarrheal disease ",2016,"24","4","7","28","11","17","3","50","38","24","38","23"
"53","Schistosomiasis","CD","Neglected Tropical Disease (Ntd)","Neglected Tropical Disease (NTD)",2016,"16","5","2","13","12","9","4","16","14","1","7","4"
"54","Cholera","CD","Diarrheal Disease ","Diarrheal disease ",2016,"8","3","2","6","2","1","0","0","0","0","0","0"
"55","Trypanosomiasis","CD","Other Vector Borne","Other vector borne",2016,"5","0","0","0","0","0","0","0","0","0","0","0"
"56","Viral Haemorrhagic Fevers","CD","Other Vector Borne","Other vector borne",2016,"4","0","0","0","0","20","0","0","0","1","4","0"
"57","Meningitis","CD","Both","Can be both CD or NCD!!! Hard to clssify ",2016,"1","6","2","3","1","1","0","10","5","2","3","2"
"58","Acute Flaccid Paralysis","CD","Both","This is not truly a disease hence can be classified in either groups",2016,"0","1","15","0","8","1","0","0","0","0","0","0"
"59","Upper Respiratory Infections","CD","Respiratory Infection","Respiratory Infection",2017,"5 829","5 181","6 727","7 097","7 178","6 138","5 303","4 382","4 666","6 024","5 894","5 563"
"60","Urinary Tract Infections","CD","Urinary Tract Infection","Urinary Tract Infection",2017,"4 244","3 346","4 236","4 159","3 446","3 438","2 929","3 342","2 938","3 247","3 015","3 307"
"61","Diarrhea With No Dehydration","CD","Diarrheal Disease ","Diarrheal disease ",2017,"779","500","931","698","787","2 091","881","553","746","869","492","614"
"62","Skin Infection - Fungal","CD","Skin","Skin",2017,"416","390","557","429","514","468","522","496","505","616","596","385"
"63","Infectious Eye Disease","CD","Other Cd","Other CD",2017,"204","225","271","127","162","167","114","146","107","146","101","215"
"64","Pneumonia, Severe","CD","Respiratory Infection","Respiratory Infection",2017,"130","139","283","296","270","168","228","139","134","506","138","201"
"65","Malaria mRDT +ve","CD","Malaria","Malaria",2017,"106","109","66","54","68","69","85","62","47","41","38","59"
"66","Dysentery","CD","Diarrheal Disease ","diarrheal disease ",2017,"57","49","217","225","235","83","92","149","132","85","16","50"
"67","Rabies","CD","Other Cd","Other CD",2017,"52",NA,"5","7",NA,NA,"1","2","3","3","15",NA
"68","Tuberculosis","CD","Respiratory Infection","Respiratory Infection",2017,"31","69","7","58","54","58","50","46","27","69","79","59"
"69","Typhoid","CD","Other Cd","I think we can call it Typhoid if its common, if not common then other CD",2017,"22","45","55","61","45","70","51","53","17","36","36","35"
"70","Meningitis","CD","Both","Can be both CD or NCD!!! Hard to clssify ",2017,"3","2","1","2","2","1","1","2",NA,"4","1","2"
"71","Diarrhea With Severe Dehydration","CD","Diarrheal Disease ","diarrheal disease ",2017,"3","24","19","24","6","4","2","14","3","5","4","65"
"72","Measles","CD","Other Cd","Other CD",2017,"1","1","5","0","0","1","0","1","0","0","1","0"
"73","Schistosomiasis","CD","Neglected Tropical Disease (Ntd)","Neglected Tropical Disease (NTD)",2017,"1","2","6","3","1","2","0","1","2","7","3","2"
"74","Influenza","CD","Respiratory Infection","Respiratory Infection",2017,"0","0","0","0","0","0","3","0","0","0","0","0"
"75","Upper Respiratory Infections","CD","Respiratory Infection","Respiratory Infection",2018,"5 336","5 188","6 611","5 818","7 709","5 350","6 337","6 172","4 821","6 399","6 304","6 111"
"76","Urinary Tract Infections","CD","Urinary Tract Infection","Urinary Tract Infection",2018,"3 434","3 411","4 054","3 334","3 791","3 273","3 834","3 348","3 831","4 199","3 751","4 709"
"77","Diarrhea With No Dehydration","CD","Diarrheal Disease ","Diarrheal disease ",2018,"585","512","405","519","537","437","466","425","540","539","579","786"
"78","Skin Infection - Fungal","CD","Skin","Skin",2018,"576","486","555","561","644","664","420","508","334","499","428","399"
"79","Pneumonia, Severe","CD","Respiratory Infection","Respiratory Infection",2018,"409","238","294","401","351","417","299","300","372","291","498","352"
"80","Infectious Eye Disease","CD","Other Cd","Other CD",2018,"119","87","101","118","136","124","240","140","168","183","147","180"
"81","Malaria mRDT +ve","CD","Malaria","Malaria",2018,"116","67","61","74","139","169","189","149","134","132","78","93"
"82","Tuberculosis","CD","Respiratory Infection","Respiratory Infection",2018,"112","45","38","63","87","55","52","68","220","66","178","16"
"83","Typhoid","CD","Other Cd","I think we can call it Typhoid if its common, if not common then other CD",2018,"55","44","15","36","69","69","74","81","74","83","59","34"
"84","Dysentery","CD","Diarrheal Disease ","diarrheal disease ",2018,"39","136","48","43","53","4","77","33","96","89","40","31"
"85","Diarrhea With Severe Dehydration","CD","Diarrheal Disease ","diarrheal disease ",2018,"21","19","19","22","28","9","17","68","20","47","26","17"
"86","Meningitis","CD","Both","Can be both CD or NCD!!! Hard to clssify ",2018,"7","1","2","2","4","4","13","21","3","0","6","7"
"87","Schistosomiasis","CD","Neglected Tropical Disease (Ntd)","Neglected Tropical Disease (NTD)",2018,"5","6","1","4","3","3","2","5","4","1","10","2"
"88","Rabies","CD","Other Cd","Other CD",2018,"2","2","2","0","0","0","0","0","1","0","4","3"
"89","Acute Flaccid Paralysis","CD","Both","This is not truly a disease hence can be classified in either groups",2018,"0","0","0","0","0","0","0","0","0","0","7","0"
"90","Measles","CD","Other Cd","Other CD",2018,"0","0","0","0","0","0","0","1","0","0","0","0"
"91","Upper Respiratory Infections","CD","Respiratory Infection","Respiratory Infection",2019,"6 831","7 489","7 871","7 679","7 042","8 485","8 584","8 668","6 451","7 491","8 175","9 568"
"92","Urinary Tract Infections","CD","Urinary Tract Infection","Urinary Tract Infection",2019,"4 077","3 376","4 639","4 830","3 463","4 811","4 878","4 449","3 315","3 772","3 910","4 694"
"93","Skin Infection - Fungal","CD","Skin","Skin",2019,"559","541","646","597","389","621","634","617","515","682","477","624"
"94","Diarrhea With No Dehydration","CD","Diarrheal Disease ","Diarrheal disease ",2019,"475","501","551","565","648","874","749","567","588","616","685","561"
"95","Pneumonia, Severe","CD","Respiratory Infection","Respiratory Infection",2019,"343","416","720","519","526","672","783","548","363","379","216","506"
"96","Infectious Eye Disease","CD","Other Cd","Other CD",2019,"265","175","174","183","250","257","312","229","221","259","131","219"
"97","Malaria mRDT +ve","CD","Malaria","Malaria",2019,"137","82","64","65","66","149","250","133","102","72","79","173"
"98","Tuberculosis","CD","Respiratory Infection","Respiratory Infection",2019,"48","60","50","71","48","53","73","45","70","77","42","54"
"99","Typhoid","CD","Other Cd","I think we can call it Typhoid if its common, if not common then other CD",2019,"32","19","21","28","24","45","33","22","27","22","34","83"
"100","Dysentery","CD","Diarrheal Disease ","diarrheal disease ",2019,"26","21","17","28","15","58","59","31","44","33","13","123"
"101","Diarrhea With Severe Dehydration","CD","Diarrheal Disease ","diarrheal disease ",2019,"20","18","21","47","36","40","28","97","28","3","12","29"
"102","Rabies","CD","Other Cd","Other CD",2019,"5","46","1","34","3","13","1","27","1","54","2","15"
"103","Meningitis","CD","Both","Can be both CD or NCD!!! Hard to clssify ",2019,"2","4","6","3","2","3","3",NA,"7","13","9","10"
"104","Schistosomiasis","CD","Neglected Tropical Disease (Ntd)","Neglected Tropical Disease (NTD)",2019,"1","6","5","4","2","3","11","22","7","3","4","7"
"105","Acute Flaccid Paralysis","CD","Both","This is not truly a disease hence can be classified in either groups",2019,NA,"1","2",NA,NA,"1",NA,NA,NA,NA,NA,NA
"106","Cholera","CD","Diarrheal Disease ","Diarrheal disease ",2019,NA,NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,NA
"107","Upper Respiratory Infections","CD","Respiratory Infection","Respiratory Infection",2020,"9 687","9 985","7 657","4 739","4 449","5 752","6 061","5 905","7 228","7 053","6 550","8 076"
"108","Urinary Tract Infections","CD","Urinary Tract Infection","Urinary Tract Infection",2020,"4 238","4 811","3 932","3 001","2 984","3 179","2 701","3 029","3 388","3 776","3 545","4 310"
"109","Pneumonia, Severe","CD","Respiratory Infection","Respiratory Infection",2020,"634","548","505","289","374","386","354","918","327","384","343","460"
"110","Diarrhea With No Dehydration","CD","Diarrheal Disease ","Diarrheal disease ",2020,"633","779","419","310","560","481","511","705","651","619","493","729"
"111","Skin Infection - Fungal","CD","Skin","Skin",2020,"556","496","552","310","322","509","209","212","388","408","384","530"
"112","Malaria mRDT +ve","CD","Malaria","Malaria",2020,"223","171","204","146","107","170","181","120","103","71","68","172"
"113","Infectious Eye Disease","CD","Other Cd","Other CD",2020,"183","225","360","166","129","116","99","284","165","250","220","276"
"114","Typhoid","CD","Other Cd","I think we can call it Typhoid if its common, if not common then other CD",2020,"66","60","18","55","73","78","106","45","74","58","42","93"
"115","Tuberculosis","CD","Respiratory Infection","Respiratory Infection",2020,"57","45","59","37","20","35","11","16","62","69","15","50"
"116","Dysentery","CD","Diarrheal Disease ","diarrheal disease ",2020,"55","70","39","16","14","31","37","47","66","50","57","55"
"117","Diarrhea With Severe Dehydration","CD","Diarrheal Disease ","diarrheal disease ",2020,"14","37","22","12","10","13","32","24","18","28","18","74"
"118","Schistosomiasis","CD","Neglected Tropical Disease (Ntd)","Neglected Tropical Disease (NTD)",2020,"5","6","6","6","1","7","3","2","0","26","2","3"
"119","Measles","CD","Other Cd","Other CD",2020,"1","0","0","1","0","0","1","0","0","13","0","0"
"120","Meningitis","CD","Both","Can be both CD or NCD!!! Hard to clssify ",2020,"1","4","0","2","1","3","0","0","0","0","0","1"
"121","Acute Flaccid Paralysis","CD","Both","This is not truly a disease hence can be classified in either groups",2020,"0","0","0","0","1","0","0","0","0","0","0","0"
"122","Influenza","CD","Respiratory Infection","Respiratory Infection",2020,"0","8","0","0","4","95","3","42","58","74","110","0"
"123","Upper Respiratory Infections","CD","Respiratory Infection","Respiratory Infection",2021,"6 659","8 670","7 861","6 367","7 741","8 692","8 208","7 477","8 789","8 396","8 218","10 355"
"124","Urinary Tract Infections","CD","Urinary Tract Infection","Urinary Tract Infection",2021,"3 593","4 581","4 672","3 264","4 323","4 517","3 630","4 029","4 604","4 820","5 028","6 605"
"125","Diarrhea With No Dehydration","CD","Diarrheal Disease ","Diarrheal disease ",2021,"1 046","1 139","904","767","842","781","887","755","772","796","813","616"
"126","Pneumonia, Severe","CD","Respiratory Infection","Respiratory Infection",2021,"617","831","2 040","761","1 459","1 548","1 827","1 667","1 373","1 468","1 204","2 033"
"127","Skin Infection - Fungal","CD","Skin","Skin",2021,"558","407","386","505","458","308","399","426","464","493","518","441"
"128","Infectious Eye Disease","CD","Other Cd","Other CD",2021,"261","224","189","289","253","195","332","275","276","231","360","243"
"129","Malaria mRDT +ve","CD","Malaria","Malaria",2021,"155","93","68","77","125","139","92","66","41","40","64","47"
"130","Diarrhea With Severe Dehydration","CD","Diarrheal Disease ","diarrheal disease ",2021,"62","79","54","17","45","39","34","34","42","47","54","44"
"131","Dysentery","CD","Diarrheal Disease ","diarrheal disease ",2021,"42","38","23","33","47","56","20","23","77","36","120","185"
"132","Tuberculosis","CD","Respiratory Infection","Respiratory Infection",2021,"41","79","41","36","79","72","62","58","57","59","65","53"
"133","Typhoid","CD","Other Cd","I think we can call it Typhoid if its common, if not common then other CD",2021,"26","35","17","4","6","19","21","36","25","30","19","36"
"134","Meningitis","CD","Both","Can be both CD or NCD!!! Hard to clssify ",2021,"5","0","0","0","2","17","7","5","6","9","5","22"
"135","Influenza","CD","Respiratory Infection","Respiratory Infection",2021,"3","329","286","221","332","1 471","1 505","131","645","557","1 105","92"
"136","Schistosomiasis","CD","Neglected Tropical Disease (Ntd)","Neglected Tropical Disease (NTD)",2021,"3","12","2","2","2","0","3","5","0","8","4","1"
"137","Acute Flaccid Paralysis","CD","Both","This is not truly a disease hence can be classified in either groups",2021,"1","0","0","0","0","0","0","0","0","0","0","0"
"138","Cholera","CD","Diarrheal Disease ","Diarrheal disease ",2021,"0","0","0","0","0","12","19","0","0","0","0","0"
"139","Upper Respiratory Infections","CD","Respiratory Infection","Respiratory Infection",2022,"6 509","7 972","8 679","7 686","9 703","8 492","8 734","5 011","5 972","7 436","7 149","6 483"
"140","Urinary Tract Infections","CD","Urinary Tract Infection","Urinary Tract Infection",2022,"5 297","4 880","3 972","3 997","4 069","3 786","4 128","3 490","3 162","3 885","4 256","4 272"
"141","Pneumonia, Severe","CD","Respiratory Infection","Respiratory Infection",2022,"1 280","868","1 086","1 183","1 657","2 466","1 330","911","900","830","1 391","1 146"
"142","Diarrhea With No Dehydration","CD","Diarrheal Disease ","Diarrheal disease ",2022,"538","919","718","612","727","534","603","484","460","591","543","635"
"143","Skin Infection - Fungal","CD","Skin","Skin",2022,"506","355","495","509","397","505","350","292","297","328","305","241"
"144","Infectious Eye Disease","CD","Other Cd","Other CD",2022,"178","190","182","222","276","243","213","192","176","187","246","270"
"145","Dysentery","CD","Diarrheal Disease ","diarrheal disease ",2022,"151","79","23","15","10","7","12","4","3","4","10","8"
"146","Influenza","CD","Respiratory Infection","Respiratory Infection",2022,"142","149","84","52","152","128","194","68","80","180","101",NA
"147","Malaria mRDT +ve","CD","Malaria","Malaria",2022,"85","49","58","55","49","57","55","64","47","20","15","37"
"148","Diarrhea With Severe Dehydration","CD","Diarrheal Disease ","diarrheal disease ",2022,"76","38","48","29","27","24","37","28","30","31","55","46"
"149","Tuberculosis","CD","Respiratory Infection","Respiratory Infection",2022,"56","33","32","45","45","37","38","22","56","35","28","35"
"150","Typhoid","CD","Other Cd","I think we can call it Typhoid if its common, if not common then other CD",2022,"55","39","119","73","108","59","77","81","27","25","36","44"
"151","Schistosomiasis","CD","Neglected Tropical Disease (Ntd)","Neglected Tropical Disease (NTD)",2022,"4","2","4","1","5","2","0","1","1","3","3","1"
"152","Rabies","CD","Other Cd","Other CD",2022,"0","0","0","0","0","1","0","0","0","0","0","0"
"153","Viral Haemorrhagic Fevers","CD","Other Vector Borne","Other vector borne",2022,"0","1","1","0","0","0","0","0","0","0","3","0"
"154","Diabetes Mellitus","NCD","Diabetes Mellitus","Diabetes Mellitus",2014,"950","1046","463","901","1234","946","1021","708","1122","1388","1000","903"
"155","Bronchial Asthma","NCD","Respiratory Disease ","Respiratory Disease ",2014,"461","428","518","750","621","428","689","448","721","982","481","627"
"156","Hypertension","NCD","Hypertension","Hypertension",2014,"1057","1026","629","749","1149","695","1021","822","848","1572","910","622"
"157","Peptic Ulcers","NCD","Other Ncd","Other NCD",2014,"600","652","596","470","599","537","744","506","781","900","799","580"
"158","Caries","NCD","Other Ncd","Other NCD",2014,"731","588","447","444","521","602","590","711","357","977","562","506"
"159","Mild/Moderate Anaemia","NCD","Cvd","CVD",2014,"447","432","442","523","505","436","364","241","452","454","406","417"
"160","Intestinal Worms","CD","Other Cd","Other CD- This is generally uner  CD",2014,"740","809","967","1008","1002","751","864","609","1014","953","790","333"
"161","Other Cardiovascular Diseases","NCD","Cvd","CVD",2014,"231","234","160","159","311","282","297","209","282","481","310","316"
"162","Epilepsy","NCD","Neurological Disorders","Neurological Disorders",2014,"203","207","198","176","207","181","234","544","542","533","563","266"
"163","Fractures","NCD","Trauma And Injuries","Trauma and Injuries",2014,"280","257","313","390","471","349","452","282","375","482","409","252"
"164","Road Traffic Accidents","NCD","Trauma And Injuries","Trauma and Injuries",2014,"222","181","192","211","173","220","161","163","226","193","189","250"
"165","Gynecological Diseases","NCD","Gynecological Diseases","Gynecological Diseases",2014,"180","190","200","239","235","323","372","214","255","277","225","194"
"166","Poisoning","NCD","Other Ncd","Other NCD",2014,"83","64","117","138","265","194","153","87","204","147","254","174"
"167","Psychoses","NCD","Neurological Disorders","Neurological Disorders",2014,"51","61","94","105","104","124","80","434","70","332","404","125"
"168","Moderate Malnutrition","NCD","Malnutrition","Malnutrition",2014,"60","59","68","73","91","170","100","75","78","75","129","100"
"169","Neuroses","NCD","Neurological Disorders","Neurological Disorders",2014,"75","67","82","60","37","101","106","68","416","102","89","72"
"170","Kwashiorkor","NCD","Malnutrition","Malnutrition",2014,"28","31","43","41","64","58","68","40","54","41","65","60"
"171","Nutritional Disorders, Other","NCD","Malnutrition","Malnutrition",2014,"17","20","33","4","28","39","50","23","23","35","86","44"
"172","Marasmic Kwashiorkor","NCD","Malnutrition","Malnutrition",2014,"21","27","36","37","43","40","42","37","36","36","104","38"
"173","Marasmus","NCD","Malnutrition","Malnutrition",2014,"3","0","2","1","12","7","11","0","10","0","27","20"
"174","Neoplasms/Cancer","NCD","Cancer","Cancer",2014,"12","14","14","32","29","15","8","14","3","17","36","15"
"175","Snake and Insect Bites","NCD","Other Ncd","Other NCD",2014,"0","0","0","1","0","4","3","2","1","1","65","4"
"176","Substance Abuse","NCD","Mental Health Disorders","Mental health Disorders",2014,"0","0","0","0","0","0","32","0","0","8","43","1"
"177","Leprosy","NCD","Other Ncd","Other NCD",2014,"0","0","8","0","0","0","0","23","2","1","3","0"
"178","Diabetes Mellitus","NCD","Diabetes Mellitus","Diabetes Mellitus",2015,"1 379","1 089","854","884","908","1 027","1 034","825","775","709","1 243","1 014"
