"","Diseases","Category","Subcategory","Subcategory_WM","Year","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept","Oct","Nov","Dec"
"179","Hypertension","NCD","Hypertension","Hypertension",2015,"1 247","1 066","984","1 220","1 313","1 329","1 450","1 080","919","959","1 332","1 380"
"180","Intestinal Worms","CD","Other Cd","Other CD- This is generally uner  CD",2015,"1 091","944","947","744","709","649","770","573","630","625","505","692"
"181","Bronchial Asthma","NCD","Respiratory Disease ","Respiratory Disease ",2015,"960","399","412","474","469","448","682","377","330","253","265","414"
"182","Peptic Ulcers","NCD","Other Ncd","Other NCD",2015,"802","663","477","608","631","693","660","551","609","593","867","520"
"183","Epilepsy","NCD","Neurological Disorders","Neurological Disorders",2015,"701","565","617","456","557","878","623","537","85","655","480","408"
"184","Psychoses","NCD","Neurological Disorders","Neurological Disorders",2015,"660","563","564","383","477","784","429","433","13","388","387","440"
"185","Caries","NCD","Other Ncd","Other NCD",2015,"559","367","230","383","266","50","54","47","47","45","24","17"
"186","Mild/Moderate Anaemia","NCD","Cvd","CVD",2015,"544","314","431","283","345","373","356","229","228","244","489","384"
"187","Fractures","NCD","Trauma And Injuries","Trauma and Injuries",2015,"394","342","307","175","262","112","313","258","398","222","266","203"
"188","Other Cardiovascular Diseases","NCD","Cvd","CVD",2015,"383","273","212","220","125","145","162","90","150","170","144","354"
"189","Nutritional Disorders, Other","NCD","Malnutrition","Malnutrition",2015,"242","176","186","264","204","36","188","5","69","74","12","43"
"190","Road Traffic Accidents","NCD","Trauma And Injuries","Trauma and Injuries",2015,"202","188","148","167","118","111","153","114","163","140","212","145"
"191","Moderate Malnutrition","NCD","Malnutrition","Malnutrition",2015,"191","126","124","60","66","36","56","28","43","33","43","28"
"192","Poisoning","NCD","Other Ncd","Other NCD",2015,"163","168","80","65","46","47","69","43","41","49","78","249"
"193","Neuroses","NCD","Neurological Disorders","Neurological Disorders",2015,"109","89","56","55","46","53","79","31","101","57","10","28"
"194","Marasmic Kwashiorkor","NCD","Malnutrition","Malnutrition",2015,"95","28","70","22","1","2","49","6","3","0","2","0"
"195","Substance Abuse","NCD","Mental Health Disorders","Mental health Disorders",2015,"42","3","19","39","13","32","5","4","3","5","8","17"
"196","Snake and Insect Bites","NCD","Other Ncd","Other NCD",2015,"37","104","6","14","15","32","21","21","34","32","18","9"
"197","Kwashiorkor","NCD","Malnutrition","Malnutrition",2015,"35","14","58","3","0","3","4","0","3","21","2","0"
"198","Marasmus","NCD","Malnutrition","Malnutrition",2015,"22","10","6","13","3","3","20","0","3","0","1","0"
"199","Neoplasms/Cancer","NCD","Cancer","Cancer",2015,"17","14","31","25","17","58","16","32","23","30","25","25"
"200","Gynecological Diseases","NCD","Gynecological Diseases","Gynecological Diseases",2015,"5","0","0","8","0","0","26","195","148","231","188","154"
"201","Leprosy","NCD","Other Ncd","Other NCD",2015,"0","1","0","0","1","1","0","0","25","14","0","4"
"202","Hypertension","NCD","Hypertension","Hypertension",2016,"1 352","1 295","1 438","990","1 711","1 189","1 786","1 329","1 563","2 216","2 631","1 688"
"203","Epilepsy","NCD","Neurological Disorders","Neurological Disorders",2016,"806","613","607","137","367","52","310","91","353","297","342","287"
"204","Peptic Ulcers","NCD","Other Ncd","Other NCD",2016,"761","1 002","803","646","1 151","596","725","674","761","760","714","620"
"205","Diabetes Mellitus","NCD","Diabetes Mellitus","Diabetes Mellitus",2016,"700","1 037","905","710","1 387","1 194","1 167","1 088","1 165","839","1 094","1 200"
"206","Intestinal Worms","CD","Other Cd","Other CD- This is generally uner  CD",2016,"580","828","710","701","700","630","539","886","621","699","995","609"
"207","Psychoses","NCD","Neurological Disorders","Neurological Disorders",2016,"467","438","411","160","550","49","362","160","412","564","494","535"
"208","Bronchial Asthma","NCD","Respiratory Disease ","Respiratory Disease ",2016,"407","467","537","569","703","332","639","393","338","395","332","337"
"209","Other Cardiovascular Diseases","NCD","Cvd","CVD",2016,"276","304","204","335","333","237","159","191","179","221","243","170"
"210","Mild/Moderate Anaemia","NCD","Cvd","CVD",2016,"261","383","318","382","195","336","297","206","289","178","176","164"
"211","Fractures","NCD","Trauma And Injuries","Trauma and Injuries",2016,"258","455","407","300","235","319","364","463","236","406","495","238"
"212","Poisoning","NCD","Other Ncd","Other NCD",2016,"244","251","231","63","188","106","33","43","72","56","51","47"
"213","Gynecological Diseases","NCD","Gynecological Diseases","Gynecological Diseases",2016,"135","155","121","170","194","206","152","188","190","195","291","160"
"214","Caries","NCD","Other Ncd","Other NCD",2016,"97","35","36","59","61","90","90","341","75","61","262","64"
"215","Road Traffic Accidents","NCD","Trauma And Injuries","Trauma and Injuries",2016,"85","187","254","143","218","313","71","116","97","123","69","80"
"216","Nutritional Disorders, Other","NCD","Malnutrition","Malnutrition",2016,"74","53","15","96","105","87","29","189","215","4","54","199"
"217","Moderate Malnutrition","NCD","Malnutrition","Malnutrition",2016,"58","21","6","125","147","66","22","61","19","15","15","28"
"218","Neuroses","NCD","Neurological Disorders","Neurological Disorders",2016,"56","22","16","50","49","56","94","89","118","161","181","204"
"219","Snake and Insect Bites","NCD","Other Ncd","Other NCD",2016,"30","24","18","39","60","42","13","33","47","12","17","27"
"220","Leprosy","NCD","Other Ncd","Other NCD",2016,"25","20","2","5","0","0","15","9","3","4","0","0"
"221","Neoplasms/Cancer","NCD","Cancer","Cancer",2016,"11","34","28","222","44","44","47","22","54","25","33","23"
"222","Kwashiorkor","NCD","Malnutrition","Malnutrition",2016,"6","26","2","32","0","3","17","3","1","0","0","0"
"223","Marasmus","NCD","Malnutrition","Malnutrition",2016,"6","0","10","6","0","2","5","0","0","0","15","0"
"224","Marasmic Kwashiorkor","NCD","Malnutrition","Malnutrition",2016,"3","1","0","37","4","9","3","5","1","0","0","0"
"225","Substance Abuse","NCD","Mental Health Disorders","Mental health Disorders",2016,"3","380","3","1","26","2","28","9","38","10","6","3"
"226","Hypertension","NCD","Hypertension","Hypertension",2017,"1 609","1 413","1 490","1 609","1 155","1 905","1 549","1 381","1 146","1 589","1 834","1 642"
"227","Diabetes Mellitus","NCD","Diabetes Mellitus","Diabetes Mellitus",2017,"1 199","1 294","1 036","1 319","989","1 243","1 020","1 188","934","917","1 266","948"
"228","Intestinal Worms","CD","Other Cd","Other CD- This is generally uner  CD",2017,"924","829","704","746","728","642","573","674","664","653","566","762"
"229","Peptic Ulcers","NCD","Other Ncd","Other NCD",2017,"629","705","598","612","679","742","652","635","564","737","723","631"
"230","Psychoses","NCD","Neurological Disorders","Neurological Disorders",2017,"622","481","79","568","369","394","596","491","409","589","597","529"
"231","Bronchial Asthma","NCD","Respiratory Disease ","Respiratory Disease ",2017,"298","368","276","402","535","462","320","337","270","340","367","507"
"232","Gynecological Diseases","NCD","Gynecological Diseases","Gynecological Diseases",2017,"267","157","160","261","204","267","195","167","194","205","231","261"
"233","Fractures","NCD","Trauma And Injuries","Trauma and Injuries",2017,"262","307","178","589","269","290","146","328","242","326","219","113"
"234","Epilepsy","NCD","Neurological Disorders","Neurological Disorders",2017,"251","245","45","160","221","263","201","202","187","256","222","197"
"235","Nutritional Disorders, Other","NCD","Malnutrition","Malnutrition",2017,"220","325","15","74","115","66","111","56","103","92","77","75"
"236","Neuroses","NCD","Neurological Disorders","Neurological Disorders",2017,"212","237","318","316","75","258","88","71","37","75","55","61"
"237","Other Cardiovascular Diseases","NCD","Cvd","CVD",2017,"173","129","157","145","268","212","169","186","153","243","204","278"
"238","Mild/Moderate Anaemia","NCD","Cvd","CVD",2017,"158","177","296","224","174","205","156","125","104","200","203","200"
"239","Road Traffic Accidents","NCD","Trauma And Injuries","Trauma and Injuries",2017,"158","89","50","90","92","71","61","23","35","94","69","65"
"240","Moderate Malnutrition","NCD","Malnutrition","Malnutrition",2017,"47","103","18","46","19","17","14","23","19","13","6","37"
"241","Poisoning","NCD","Other Ncd","Other NCD",2017,"45","42","30","43","49","74","56","31","17","54","45","26"
"242","Caries","NCD","Other Ncd","Other NCD",2017,"39","84","338","272","101","93","189","181","235","300","289","157"
"243","Neoplasms/Cancer","NCD","Cancer","Cancer",2017,"27","35","21","12","28","22","54","25","53","28","39","36"
"244","Substance Abuse","NCD","Mental Health Disorders","Mental health Disorders",2017,"23","2","14","6","75","20","34","15","43","42","31","154"
"245","Snake and Insect Bites","NCD","Other Ncd","Other NCD",2017,"21","35","18","29","20","32","26","10","8","30","23","15"
"246","Marasmic Kwashiorkor","NCD","Malnutrition","Malnutrition",2017,"3","0","0","2","1","1","0","0","1","0","0","0"
"247","Kwashiorkor","NCD","Malnutrition","Malnutrition",2017,"2","5","0","12","0","0","0","0","0","0","0","0"
"248","Marasmus","NCD","Malnutrition","Malnutrition",2017,"1","0","0","0","0","6","1","2","0","0","0","0"
"249","Leprosy","NCD","Other Ncd","Other NCD",2017,"0","0","1","0","3","0","2","0","0","1","1","2"
"250","Hypertension","NCD","Hypertension","Hypertension",2018,"2 119","1 873","1 800","1 790","1 774","1 767","2 087","2 340","1 693","1 936","1 442","1 016"
"251","Diabetes Mellitus","NCD","Diabetes Mellitus","Diabetes Mellitus",2018,"1 422","1 272","1 187","1 131","1 292","1 384","1 074","1 139","1 121","1 202","865","1 035"
"252","Peptic Ulcers","NCD","Other Ncd","Other NCD",2018,"769","597","629","651","761","586","709","613","629","810","729","713"
"253","Intestinal Worms","CD","Other Cd","Other CD- This is generally uner  CD",2018,"587","611","622","607","653","673","801","635","508","603","655","602"
"254","Gynecological Diseases","NCD","Gynecological Diseases","Gynecological Diseases",2018,"383","336","195","228","233","243","209","210","161","165","204","240"
"255","Bronchial Asthma","NCD","Respiratory Disease ","Respiratory Disease ",2018,"373","370","447","518","539","484","618","442","293","371","320","506"
"256","Epilepsy","NCD","Neurological Disorders","Neurological Disorders",2018,"325","105","179","124","158","202","203","244","151","161","224","191"
"257","Other Cardiovascular Diseases","NCD","Cvd","CVD",2018,"262","221","226","194","137","210","163","237","317","240","484","391"
"258","Fractures","NCD","Trauma And Injuries","Trauma and Injuries",2018,"237","266","428","363","317","197","269","447","578","408","506","474"
"259","Mild/Moderate Anaemia","NCD","Cvd","CVD",2018,"177","150","198","150","194","191","228","163","214","234","217","282"
"260","Psychoses","NCD","Neurological Disorders","Neurological Disorders",2018,"159","616","609","472","434","557","597","550","411","576","467","544"
"261","Neuroses","NCD","Neurological Disorders","Neurological Disorders",2018,"87","49","77","67","92","62","91","107","23","61","110","43"
"262","Substance Abuse","NCD","Mental Health Disorders","Mental health Disorders",2018,"87","71","72","31","26","56","49","23","12","22","9","638"
"263","Nutritional Disorders, Other","NCD","Malnutrition","Malnutrition",2018,"81","71","91","48","38","57","109","88","92","71","52","27"
"264","Road Traffic Accidents","NCD","Trauma And Injuries","Trauma and Injuries",2018,"67","35","55","56","33","27","60","61","36","56","45","64"
"265","Poisoning","NCD","Other Ncd","Other NCD",2018,"42","38","47","35","42","23","66","34","33","54","53","37"
"266","Neoplasms/Cancer","NCD","Cancer","Cancer",2018,"29","43","50","35","58","64","36","91","60","77","51","57"
"267","Caries","NCD","Other Ncd","Other NCD",2018,"25","200","155","129","141","112","150","116","174","132","239","180"
"268","Moderate Malnutrition","NCD","Malnutrition","Malnutrition",2018,"11","24","16","6","12","13","15","2","20","22","13","14"
"269","Snake and Insect Bites","NCD","Other Ncd","Other NCD",2018,"9","13","18","26","20","7","9","8","10","10","13","13"
"270","Marasmus","NCD","Malnutrition","Malnutrition",2018,"3","0","0","1","0","1","0","1","0","1","1","0"
"271","Kwashiorkor","NCD","Malnutrition","Malnutrition",2018,"2","1","0","0","0","7","4","5","0","11","1","4"
"272","Leprosy","NCD","Other Ncd","Other NCD",2018,"0","0","0","1","0","0","0","0","0","0","0","0"
"273","Marasmic Kwashiorkor","NCD","Malnutrition","Malnutrition",2018,"0","0","1","0","0","3","0","14","0","0","0","0"
"274","Hypertension","NCD","Hypertension","Hypertension",2019,"1 535","1 847","2 002","2 478","1 927","2 252","2 577","2 212","1 640","2 869","2 764","3 310"
"275","Diabetes Mellitus","NCD","Diabetes Mellitus","Diabetes Mellitus",2019,"1 205","1 038","1 739","1 365","1 383","1 637","1 529","1 335","883","1 515","1 429","1 919"
"276","Peptic Ulcers","NCD","Other Ncd","Other NCD",2019,"763","991","945","1 006","994","896","976","1 138","521","1 088","587","928"
"277","Other Cardiovascular Diseases","NCD","Cvd","CVD",2019,"733","560","229","367","184","163","204","149","44","211","114","222"
"278","Psychoses","NCD","Neurological Disorders","Neurological Disorders",2019,"569","669","594","923","476","493","607","533","206","409","339","320"
"279","Intestinal Worms","CD","Other Cd","Other CD- This is generally uner  CD",2019,"530","738","691","607","552","564","876","739","674","756","624","758"
"280","Bronchial Asthma","NCD","Respiratory Disease ","Respiratory Disease ",2019,"368","277","416","489","533","474","469","573","235","405","457","546"
"281","Fractures","NCD","Trauma And Injuries","Trauma and Injuries",2019,"344","506","467","438","326","414","415","407","278","318","237","404"
"282","Mild/Moderate Anaemia","NCD","Cvd","CVD",2019,"268","280","366","309","480","358","516","385","370","433","347","335"
"283","Gynecological Diseases","NCD","Gynecological Diseases","Gynecological Diseases",2019,"240","263","197","208","215","200","228","143","174","262","220","260"
"284","Caries","NCD","Other Ncd","Other NCD",2019,"208","260","342","251","117","194","271","252","238","392","182","384"
"285","Road Traffic Accidents","NCD","Trauma And Injuries","Trauma and Injuries",2019,"145","30","43","59","73","41","55","19","30","73","19","53"
"286","Epilepsy","NCD","Neurological Disorders","Neurological Disorders",2019,"144","269","153","293","102","245","292","210","125","291","247","209"
"287","Substance Abuse","NCD","Mental Health Disorders","Mental health Disorders",2019,"127","103","61","99","49","42","25","17","21","50","9","117"
"288","Neoplasms/Cancer","NCD","Cancer","Cancer",2019,"103","143","130","62","46","42","43","43","21","33","18","20"
"289","Neuroses","NCD","Neurological Disorders","Neurological Disorders",2019,"59","124","48","76","126","113","54","89","38","47","50","41"
"290","Nutritional Disorders, Other","NCD","Malnutrition","Malnutrition",2019,"51","64","71","89","126","89","121","88","89","65","86","102"
"291","Poisoning","NCD","Other Ncd","Other NCD",2019,"39","102","78","60","39","44","23","39","40","50","25","37"
"292","Moderate Malnutrition","NCD","Malnutrition","Malnutrition",2019,"20","46","11","11","60","17","18","13","56","9","8","22"
"293","Snake and Insect Bites","NCD","Other Ncd","Other NCD",2019,"10","18","10","34","8","19","9","2","52","17","10","18"
"294","Kwashiorkor","NCD","Malnutrition","Malnutrition",2019,"1","0","0","7","1","0","0","0","0","2","0","0"
"295","Leprosy","NCD","Other Ncd","Other NCD",2019,"0","0","0","1","4","4","4","20","23","11","12","0"
"296","Marasmic Kwashiorkor","NCD","Malnutrition","Malnutrition",2019,"0","0","0","0","1","0","0","0","0","1","1","0"
"297","Marasmus","NCD","Malnutrition","Malnutrition",2019,"0","0","53","0","0","0","0","0","1","3","0","0"
"298","Hypertension","NCD","Hypertension","Hypertension",2020,"2 502","1 869","1 854","1 508","1 910","1 980","2 244","2 347","2 462","2 667","2 424","2 768"
"299","Diabetes Mellitus","NCD","Diabetes Mellitus","Diabetes Mellitus",2020,"1 380","1 521","1 089","911","1 188","1 327","1 162","1 312","1 445","1 462","1 323","1 891"
"300","Peptic Ulcers","NCD","Other Ncd","Other NCD",2020,"907","1 014","830","645","830","809","849","1 026","978","850","712","701"
"301","Intestinal Worms","CD","Other Cd","Other CD- This is generally uner  CD",2020,"799","690","476","340","372","446","439","512","510","620","515","689"
"302","Bronchial Asthma","NCD","Respiratory Disease ","Respiratory Disease ",2020,"562","536","444","317","375","418","517","461","410","351","320","341"
"303","Mild/Moderate Anaemia","NCD","Cvd","CVD",2020,"484","442","289","180","225","227","220","180","206","247","332","407"
"304","Caries","NCD","Other Ncd","Other NCD",2020,"398","141","432","94","83","282","343","343","243","226","180","200"
"305","Psychoses","NCD","Neurological Disorders","Neurological Disorders",2020,"378","296","231","288","310","235","275","202","325","301","333","365"
"306","Fractures","NCD","Trauma And Injuries","Trauma and Injuries",2020,"351","356","384","317","272","382","420","200","685","284","279","316"
"307","Gynecological Diseases","NCD","Gynecological Diseases","Gynecological Diseases",2020,"292","191","201","195","154","164","114","339","151","193","149","188"
"308","Epilepsy","NCD","Neurological Disorders","Neurological Disorders",2020,"237","225","111","146","150","143","206","251","217","225","149","183"
"309","Other Cardiovascular Diseases","NCD","Cvd","CVD",2020,"206","200","211","93","105","139","121","248","162","176","173","171"
"310","Substance Abuse","NCD","Mental Health Disorders","Mental health Disorders",2020,"118","10","58","11","76","24","16","20","30","20","21","29"
"311","Nutritional Disorders, Other","NCD","Malnutrition","Malnutrition",2020,"102","39","57","42","75","92","81","66","52","55","46","42"
"312","Road Traffic Accidents","NCD","Trauma And Injuries","Trauma and Injuries",2020,"73","35","32","37","29","19","16","80","51","70","29","74"
"313","Neuroses","NCD","Neurological Disorders","Neurological Disorders",2020,"46","50","220","45","61","78","72","62","84","43","42","103"
"314","Poisoning","NCD","Other Ncd","Other NCD",2020,"46","23","32","13","15","21","45","47","18","27","22","46"
"315","Neoplasms/Cancer","NCD","Cancer","Cancer",2020,"23","22","20","19","23","33","20","26","40","21","30","28"
"316","Moderate Malnutrition","NCD","Malnutrition","Malnutrition",2020,"18","9","6","2","9","6","9","7","18","12","8","39"
"317","Snake and Insect Bites","NCD","Other Ncd","Other NCD",2020,"13","20","27","15","5","8","5","7","19","12","8","10"
"318","Leprosy","NCD","Other Ncd","Other NCD",2020,"1","0","0","19","11","12","0","2","0","1","4","0"
"319","Kwashiorkor","NCD","Malnutrition","Malnutrition",2020,"0","0","0","1","0","0","74","92","0","4","0","0"
"320","Marasmic Kwashiorkor","NCD","Malnutrition","Malnutrition",2020,"0","0","8","0","0","0","0","2","2","1","0","0"
"321","Marasmus","NCD","Malnutrition","Malnutrition",2020,"0","0","0","4","0","0","0","0","0","1","0","0"
"322","Hypertension","NCD","Hypertension","Hypertension",2021,"2 385","2 195","2 340","2 346","2 811","2 931","2 749","2 762","3 002","2 878","2 727","2 890"
"323","Diabetes Mellitus","NCD","Diabetes Mellitus","Diabetes Mellitus",2021,"1 474","1 495","1 486","1 282","1 803","1 763","1 717","1 678","1 685","1 571","1 639","1 546"
"324","Peptic Ulcers","NCD","Other Ncd","Other NCD",2021,"780","738","898","794","1 214","1 091","1 239","1 257","984","1 002","981","927"
"325","Intestinal Worms","CD","Other Cd","Other CD- This is generally uner  CD",2021,"655","542","724","687","481","407","492","440","592","439","484","440"
"326","Mild/Moderate Anaemia","NCD","Cvd","CVD",2021,"534","421","489","355","412","349","469","414","511","463","454","626"
"327","Psychoses","NCD","Neurological Disorders","Neurological Disorders",2021,"477","348","371","344","385","362","391","353","456","351","421","402"
"328","Bronchial Asthma","NCD","Respiratory Disease ","Respiratory Disease ",2021,"357","325","325","380","509","511","593","475","364","467","299","427"
"329","Fractures","NCD","Trauma And Injuries","Trauma and Injuries",2021,"303","340","381","305","333","475","320","481","240","506","319","327"
"330","Gynecological Diseases","NCD","Gynecological Diseases","Gynecological Diseases",2021,"290","247","301","188","197","243","184","235","283","254","257","335"
"331","Other Cardiovascular Diseases","NCD","Cvd","CVD",2021,"226","182","225","244","288","187","323","365","332","241","170","321"
"332","Caries","NCD","Other Ncd","Other NCD",2021,"176","170","202","258","186","162","273","220","352","88","171","88"
"333","Epilepsy","NCD","Neurological Disorders","Neurological Disorders",2021,"159","162","182","178","210","206","233","199","256","214","195","221"
"334","Nutritional Disorders, Other","NCD","Malnutrition","Malnutrition",2021,"105","88","79","68","73","108","122","79","138","17","35","14"
"335","Road Traffic Accidents","NCD","Trauma And Injuries","Trauma and Injuries",2021,"49","55","30","91","21","73","36","37","22","43","42","66"
"336","Neuroses","NCD","Neurological Disorders","Neurological Disorders",2021,"43","62","48","54","46","124","69","94","95","41","101","118"
"337","Substance Abuse","NCD","Mental Health Disorders","Mental health Disorders",2021,"36","34","17","18","32","39","28","38","43","53","48","50"
"338","Neoplasms/Cancer","NCD","Cancer","Cancer",2021,"21","87","113","47","24","31","24","24","20","43","32","20"
"339","Poisoning","NCD","Other Ncd","Other NCD",2021,"16","21","24","24","40","23","13","21","19","48","33","22"
"340","Snake and Insect Bites","NCD","Other Ncd","Other NCD",2021,"14","4","10","21","37","15","8","9","14","11","15","12"
"341","Moderate Malnutrition","NCD","Malnutrition","Malnutrition",2021,"12","3","25","9","9","10","9","8","5","21","15","13"
"342","Kwashiorkor","NCD","Malnutrition","Malnutrition",2021,"7","58","6","1","0","0","0","0","7","1","1","0"
"343","Leprosy","NCD","Other Ncd","Other NCD",2021,"1","10","6","8","2","4","6","0","2","3","0","12"
"344","Marasmic Kwashiorkor","NCD","Malnutrition","Malnutrition",2021,"0","0","0","0","9","0","0","0","0","0","0","0"
"345","Marasmus","NCD","Malnutrition","Malnutrition",2021,"0","0","0","0","2","13","0","0","0","0","0","1"
"346","Hypertension","NCD","Hypertension","Hypertension",2022,"3 073","1 844","1 388","1 188","1 095","1 177","1 881","1 565","2 224","2 421","1 797","1 527"
"347","Diabetes Mellitus","NCD","Diabetes Mellitus","Diabetes Mellitus",2022,"2 074","1 459","1 384","1 136","1 145","1 174","1 200","1 362","1 388","1 898","1 657","1 444"
"348","Peptic Ulcers","NCD","Other Ncd","Other NCD",2022,"1 095","914","860","1 067","1 018","1 104","986","1 080","1 029","1 137","964","1 068"
"349","Mild/Moderate Anaemia","NCD","Cvd","CVD",2022,"573","446","493","577","483","607","499","458","446","570","579","590"
"350","Psychoses","NCD","Neurological Disorders","Neurological Disorders",2022,"448","368","91","130","69","136","97","185","149","174","163","210"
"351","Bronchial Asthma","NCD","Respiratory Disease ","Respiratory Disease ",2022,"344","287","345","291","330","354","385","301","277","314","302","308"
"352","Fractures","NCD","Trauma And Injuries","Trauma and Injuries",2022,"331","227","262","208","230","236","218","287","249","229","286","280"
"353","Gynecological Diseases","NCD","Gynecological Diseases","Gynecological Diseases",2022,"330","230","184","249","264","237","254","168","201","164","236","148"
"354","Intestinal Worms","CD","Other Cd","Other CD- This is generally uner  CD",2022,"318","495","540","457","498","445","480","439","343","440","338","353"
"355","Other Cardiovascular Diseases","NCD","Cvd","CVD",2022,"208","190","131","212","202","297","265","383","319","357","373","423"
"356","Epilepsy","NCD","Neurological Disorders","Neurological Disorders",2022,"191","133","121","124","118","136","141","151","194","171","128","138"
"357","Caries","NCD","Other Ncd","Other NCD",2022,"169","159","51","78","74","53","26","79","133","55","55","40"
"358","Road Traffic Accidents","NCD","Trauma And Injuries","Trauma and Injuries",2022,"150","35","33","24","32","97","104","102","88","114","137","163"
"359","Neuroses","NCD","Neurological Disorders","Neurological Disorders",2022,"50","74","28","113","73","104","126","158","175","189","88","153"
"360","Substance Abuse","NCD","Mental Health Disorders","Mental health Disorders",2022,"49","21","21","55","36","8","25","23","16","16","19","20"
"361","Poisoning","NCD","Other Ncd","Other NCD",2022,"30","24","25","17","19","24","24","34","23","26","39","13"
"362","Neoplasms/Cancer","NCD","Cancer","Cancer",2022,"28","18","27","33","16","30","15","20","18","19","20","64"
"363","Nutritional Disorders, Other","NCD","Malnutrition","Malnutrition",2022,"15","15","18","12","25","34","18","42","40","24","23","29"
"364","Snake and Insect Bites","NCD","Other Ncd","Other NCD",2022,"5","7","3","13","20","3","6","5","8","4","11","1"
"365","Leprosy","NCD","Other Ncd","Other NCD",2022,"4","0","0","0","0","25","0","1","0","0","0","0"
"366","Moderate Malnutrition","NCD","Malnutrition","Malnutrition",2022,"4","19","24","18","31","20","9","9","5","7","18","5"
"367","Marasmus","NCD","Malnutrition","Malnutrition",2022,"2","0","1","0","0","0","0","0","0","0","0","3"
"368","Kwashiorkor","NCD","Malnutrition","Malnutrition",2022,"0","0","0","0","0","0","1","0","5","0","0","1"
"369","Marasmic Kwashiorkor","NCD","Malnutrition","Malnutrition",2022,"0","2","0","1","0","0","0","0","0","1","0","0"
